MeanScore,RCR,LogRCR
3.666666667,13.29403819,1.123656922
2.333333333,1.236656085,0.092248939
2,1.373702615,0.137892725
2.666666667,2.314115946,0.364385115
2.333333333,1.801199532,0.255561825
1.333333333,0.985067341,-0.006534079
2.666666667,1.12688916,0.051881201
2.333333333,0.972557836,-0.012084563
4,2.227334199,0.347785385
3,12.4596098,1.095504442
2,1.656005787,0.21906185
3,2.242585044,0.350748921
0.666666667,0.287486121,-0.541383117
2.333333333,1.528472875,0.184257736
2.666666667,1.529554473,0.184564948
3,2.910440665,0.46395875
2.666666667,0.919672824,-0.036366647
3,1.644579741,0.216054936
2.666666667,1.470642809,0.167507204
2,2.001095138,0.301267737
2,1.417948347,0.151660411
1,0.745125801,-0.127770398
3.333333333,1.999786343,0.300983598
3.333333333,17.62433048,1.246112628
2.333333333,1.171423917,0.068714087
0.666666667,0.909528534,-0.041183672
3,12.15108913,1.084615206
2,1.203966545,0.080614419
2,1.086149542,0.035889623
3.25,2.16243199,0.334942457
1.333333333,0.824800196,-0.083651245
3.333333333,3.761626575,0.57537568
2.666666667,1.155471942,0.062759404
3,0.648186747,-0.188299853
4,9.852344049,0.993539569
2.666666667,0.638378033,-0.194922066
2,0.342192556,-0.465729442
1,1.474367856,0.168605854
1,0.175911234,-0.754706425
1.666666667,0.432256955,-0.36425801
2.666666667,1.696096056,0.229450444
3,0.724240051,-0.140117462
3.333333333,6.605629809,0.819914231
3.333333333,1.418405565,0.151800427
2.5,2.271299391,0.356274384
3,1.575458094,0.197406856
2.333333333,0.823605046,-0.084281001
1.75,0.94760057,-0.023374687
2.75,2.288551656,0.35956072
2.333333333,24.55222053,1.390090776
2.333333333,0.58807939,-0.230564041
2.333333333,1.548879473,0.190017624
1,0.93362955,-0.029825411
3.333333333,1.501482057,0.176520147
2,0.76293522,-0.117512336
2.666666667,1.051230374,0.021697901
1.666666667,0.618526631,-0.208641597
3,10.15292896,1.006591347
2.333333333,0.447924688,-0.348795
3.666666667,3.967440002,0.598510368
1.333333333,1.165689482,0.066582878
4,2.354065643,0.371818569
2.333333333,18.0557494,1.256615518
1.333333333,0.795783154,-0.099205259
2,0.660341938,-0.18023112
2.333333333,2.043632616,0.310402825
2,0.428215604,-0.368337511
2.333333333,3.405154617,0.532136837
1.333333333,1.399809627,0.146068976
1.25,1.008738058,0.003778406
3.666666667,4.355147856,0.639002904
3.333333333,2.917274185,0.464977249
2.333333333,1.407289575,0.14838347
2.25,0.723494009,-0.140565061
2.333333333,3.340359953,0.523793268
3,3.714805505,0.56993608
3,1.795859084,0.254272256
