Category Avg CPY,TR Ratio,FCR,RCR
4.181433333,0.239152444,4.814924242,0.227068414
3.064466667,0.326321056,8.605918919,0.136672897
4.246411111,4.31737127,11.21144492,1.967375597
2.883126667,0.231230447,6.707168,0.113807408
3.604433333,3.421712151,8.483667717,1.707553603
4.0723,0.572976778,4.330026042,0.578791069
3.922811111,0.509838466,10.84297638,0.221347533
3.794544444,1.581217479,6.563761468,1.043902319
2.49065,0.66916936,7.193057471,0.267472131
3.295883333,1.213635191,6.783854651,0.67604441
5.4269,0.798491465,7.819562982,0.645557021
3.580133333,0.837957618,7.631027559,0.456781635
3.774983333,2.207515265,7.550727778,1.280870533
3.7186,0.17927894,11.13233333,0.072010649
4.146233333,6.10996326,7.959943128,3.714342107
3.478966667,1.053952802,6.654626623,0.63028439
3.877366667,0.515813997,6.064913462,0.372829782
4.4209,0.678594856,9.629464646,0.37022535
5.4269,0.921336306,6.693308977,0.855109991
3.545783333,2.162192651,6.026195301,1.437150719
3.478666667,1.628976619,10.16663878,0.665421445
2.78705,0.239201545,10.72610714,0.074523123
2.012783333,3.808987555,5.01897619,1.681013477
5.279333333,2.588710696,14.72152799,1.137408444
4.0723,2.701176239,8.774715419,1.477217333
3.88835,0.771535484,7.628077957,0.456939311
3.367633333,1.583703689,5.204820339,1.13389951
3.6811,0.905526428,6.799532486,0.562225708
4.181433333,1.355197181,6.534719821,0.989750212
4.2789,0.233704924,6.136485294,0.184523294
2.623466667,0.889408416,6.889711864,0.389011713
3.010283333,1.550241672,7.909502646,0.688131075
2.950633333,1.468611259,11.46406577,0.455527834
4.126866667,1.292344474,10.9296557,0.585941231
2.594025,1.156503889,4.13145045,0.77343161
3.534783333,1.886018474,3.845269006,1.822025205
2.727433333,3.788665779,6.114402556,1.912729128
4.146233333,6.753117287,10.57117177,3.172184117
2.874533333,0.231921703,6.370660714,0.11906257
4.0723,1.145953556,8.598994565,0.638270963
3.064466667,0.761415798,6.352764706,0.417744856
4.0723,1.882637985,9.871671504,0.924890391
4.4855,0.743135288,13.97932686,0.291238969
1.505333333,2.43578388,3.787701087,1.014376388
3.506966667,0.380195611,5.961666667,0.252283984
4.146233333,0.401971267,15.79550289,0.129794621
5.137416667,5.839510779,9.598843936,3.713034123
4.634,0.359660481,6.197440945,0.304903812
5.789333333,0.633348687,7.70652027,0.553401162
3.6811,1.358289642,8.222620229,0.712024008
2.116587879,0.157486177,5.2475,0.07037805
2.936083333,4.314137314,7.325208768,2.000194909
3.478666667,2.874664622,8.611393789,1.365943654
