RCR (log) First Interval,d(logRCR),d(logRCR Randomized)
-0.34518,0.348276,-0.04379
0.282382,-0.16717,-0.18888
0.167077,0.024067,-0.36817
-0.24827,0.099032,0.250793
0.145533,-0.13027,-0.15636
-0.06467,-0.04173,-0.33408
-0.3702,0.133106,0.102684
0.013548,-0.02163,-0.20674
-0.56422,-0.02242,0.586281
-0.01958,0.026542,0.262273
-0.15785,0.095683,-0.05582
0.167806,-0.38358,-0.0951
-0.37642,0.024597,0.336617
0.082694,-0.09286,-0.28694
-0.08032,0.180293,0.005803
-0.29302,-0.04472,0.019491
-0.20636,-0.06234,0.199071
-0.35592,-0.10982,-0.03695
0.096548,-0.16777,0.28906
-0.17729,0.25301,-0.28596
-0.16059,-0.13707,0.22362
0.154033,-0.21598,-0.20093
-0.26027,-0.03747,0.139078
-0.13476,-0.00595,0.097432
0.072556,-0.22436,-0.0686
-0.15424,-0.24708,0.23839
-0.07733,-0.00653,0.113
-0.3427,0.044821,0.767538
-0.23987,-0.02845,0.10661
-0.14236,-0.03358,0.059009
0.271197,0.123199,-0.33431
-0.32702,0.11193,0.245715
-0.20035,-0.02812,0.028926
-0.00349,-0.09396,0.176499
-0.11211,-0.17459,0.502416
0.228877,-0.06933,-0.40819
-0.14375,-0.0657,0.114039
0.733568,-0.4148,-0.88828
-0.07981,-0.07495,-0.32544
-0.4291,0.291631,0.568101
0.101843,-0.12684,-0.39258
-0.25563,0.220275,0.234878
0.012411,0.192732,0.013012
-0.12015,0.088357,-0.24451
-0.35092,0.055685,0.083296
-0.07142,0.084139,-0.0239
-0.25236,0.448694,0.295393
0.104865,-0.07862,-0.30201
0.373645,-0.47258,-0.63783
-0.15074,0.06918,-0.27781
0.165578,-0.18758,-0.59769
-0.3231,-0.18036,0.315771
-0.07332,0.022349,-0.27859
0.318715,0.046938,-0.57679
-0.09062,-0.01003,-0.13223
-0.09471,-0.0194,-0.04223
-0.18079,-0.15469,0.181711
-0.02822,-0.18448,0.02587
0.280307,-0.25642,-0.18165
0.03785,-0.136,-0.03602
0.004954,-0.07869,-0.28309
-0.1485,-0.03437,-0.31894
0.442941,-0.39228,-0.70889
-0.14936,0.534972,-0.24494
0.09011,0.061963,-0.1304
0.16763,-0.26255,-0.05535
-0.34775,0.34144,0.217963
-0.09791,0.182352,-0.0084
-0.0147,-0.33214,0.303821
-0.36,0.00817,-0.05767
-0.12658,-0.22169,0.277669
0.264647,-0.185,-0.65946
-0.22253,0.014994,0.104176
-0.23365,0.566459,0.793217
-0.28085,0.113892,-0.02515
-0.39989,-0.1061,0.423998
0.02192,0.005072,-0.34734
0.324075,-0.09149,-0.53175
0.160883,-0.13497,-0.04899
-0.37857,0.038142,0.205101
-0.01182,-0.29591,-0.39309
-0.07702,0.055527,-0.03645
-0.0017,0.016511,-0.19223
0.302166,-0.24328,-0.18948
-0.01198,-0.06388,-0.25515
-0.21406,-0.13832,0.320114
-0.35593,-0.15285,0.296205
-0.35805,0.155382,0.225331
-0.03436,0.020624,0.287619
-0.29671,0.386354,0.496338
0.493611,-0.08217,-0.64464
-0.40032,0.064589,-0.18633
-0.22941,0.135708,-0.0054
0.059726,-0.05063,0.104055
0.603085,-0.20899,-0.7117
-0.0788,-0.11931,-0.21908
-0.26049,-0.08982,0.64648
-0.3888,-0.00384,0.446198
0.03944,0.009619,-0.01061
0.135799,-0.21418,-0.15026
0.13526,0.121722,-0.50057
-0.23642,0.065786,0.197458
-0.30076,0.134271,0.090921
-0.39052,0.107725,0.939677
-0.03971,-0.11678,0.032208
-0.17788,0.149365,0.032163
-0.27504,0.15666,-0.13457
-0.14195,-0.13158,-0.00683
-0.25461,0.080599,0.068817
0.032562,-0.09884,-0.12122
-0.19904,-0.01725,0.000928
-0.00319,-0.01311,-0.06854
-0.24833,0.264539,0.419292
0.051334,0.289939,0.021432
0.145508,0.040161,-0.30686
-0.03547,-0.10659,-0.03873
0.505883,-0.54082,-0.7679
0.030052,0.106917,-0.20406
-0.06009,-0.1645,-0.14236
0.164995,-0.21174,0.158394
-0.18192,0.031241,0.253114
0.030915,-0.34395,-0.27459
-0.15926,0.047784,0.074036
0.089205,0.040586,-0.04679
-0.06582,-0.11118,-0.13796
-0.46316,0.036152,0.624402
0.219958,0.078329,-0.33763
-0.1934,0.234986,0.141796
-0.38326,0.413798,-0.18287
-0.0271,-0.061,0.019976
0.039193,-0.06798,-0.42944
-0.14263,-0.20257,-0.00803
-0.2178,-0.06913,0.158293
-0.14321,0.515538,-0.03966
-0.15897,0.139217,0.083358
0.122179,-0.13951,-0.2502
-0.10455,0.08163,-0.23153
-0.23054,0.122547,0.210788
0.039719,0.160092,-0.09769
0.037694,-0.16451,-0.03244
0.011127,-0.2416,-0.00803
-0.0924,0.102538,0.457671
-0.33062,-0.01128,0.156285
-0.06818,0.01658,-0.37474
-0.02428,-0.15084,-0.01814
0.119892,0.067451,-0.51031
-0.18933,-0.0883,0.304542
-0.04104,-0.06219,0.404712
-0.4111,0.091038,0.368584
-0.20024,-0.19252,-0.07396
-0.36466,0.032167,0.517264
-0.52449,0.071391,0.690583
0.142346,-0.03603,-0.42915
-0.22695,0.387987,0.728238
-0.32996,0.20115,0.811406
-0.10011,0.061952,-0.06161
-0.27884,0.195412,0.126341
0.252512,-0.12539,-0.16085
-0.02498,-0.29266,0.0256
-0.25117,-0.0723,-0.18124
-0.02488,-0.03283,0.066311
