RCR,F1000Total
1.778906723,2
5.757021839,5
4.872700773,2
1.555771041,5
1.337278387,2
1.661440836,1
2.331674767,1
0.626513035,1
2.076644497,2
2.627560858,1
2.032625714,1
2.004167746,2
3.968585828,1
10.17747487,4
1.08230583,2
1.805264549,1
4.15247513,4
0.620701618,3
9.731924505,11
1.167530868,1
1.747430052,3
0.826294964,2
1.306948995,4
0.712964729,1
0.934599616,4
0.903493477,1
1.116834446,2
0.564088832,2
1.312261515,1
0.619917954,2
0.745268956,3
1.656090026,1
0.476011202,1
1.382912496,3
1.667367437,1
0.480429576,1
0.680004864,1
6.538699755,2
1.422715756,1
0.427090275,2
3.008761283,2
4.988496437,1
0.622807627,1
1.276374455,1
0.390442115,2
10.4173031,9
1.349165135,1
0.979451237,1
3.879441842,4
0.870849229,1
1.087649851,3
1.26584489,2
0.308798752,1
4.116296634,4
0.758210254,4
1.230087766,1
1.137052477,4
2.059597849,3
0.783828067,1
0.594145993,2
0.682913959,1
4.175917841,3
0.378211949,1
3.216004233,4
0.495245883,1
2.591307717,2
0,1
1.630225143,2
1.219022893,1
14.25318899,4
0.345517915,1
1.162258857,1
0.353680642,1
0.710087863,1
3.22066834,2
0.497040388,2
0.141872328,1
0.754143133,2
1.658213103,3
1.651364217,1
0.432356593,1
2.370680882,1
0.803009483,1
1.938956568,1
0.790741272,2
1.434585862,1
1.338338892,3
3.27829451,1
0.185796008,1
1.332393791,1
2.826612402,1
0.612872426,1
3.005561649,1
3.539311321,1
2.589150464,1
2.58526945,3
2.328747127,2
7.405311589,2
1.259288398,5
1.266444609,1
1.205753817,2
2.86388548,2
1.671988511,1
9.094127068,3
0.369818455,1
3.373158924,1
2.298244213,1
2.493079248,11
1.819626989,1
0.762701884,2
1.508162577,2
1.228931731,4
0.450113556,2
0.973203251,1
3.466127152,2
4.010130306,9
0.314427747,2
1.736828687,1
0.549706339,1
1.025532557,3
6.705927706,2
4.567745937,1
1.680385095,1
0.660707273,1
1.264827742,3
1.373372409,1
4.31507235,6
0.328435266,3
1.387541564,3
0.48830558,1
0.433679933,3
0.659152065,2
3.091725965,3
18.96778583,10
0.282245163,1
5.438995496,5
0.4709711,2
3.790795945,1
2.497191257,1
0.802283418,1
1.148487307,1
0.210339116,1
2.861369037,3
1.324771811,4
1.364539546,1
1.506245967,1
10.18315909,9
0.538851866,1
0.863360901,1
0.282268096,2
1.452948176,1
3.196017835,2
0.423767686,1
9.38981325,4
1.99608385,3
1.935263435,1
0.548678026,2
1.867451858,1
1.446255587,2
2.24756818,1
7.861626467,3
2.670715949,7
1.352682388,1
1.442837247,2
2.696683485,1
3.322612079,1
0.340993849,1
7.163716458,4
1.034242767,2
1.400079323,1
3.367733944,3
0.712214999,1
0.96962669,2
0.300137614,2
0.96226578,1
1.587468357,2
3.127757941,1
2.515644386,6
0.251566379,1
2.085379591,1
5.030343961,8
2.146379862,3
1.366242827,2
1.001647526,1
1.275228629,2
3.396490322,1
0.99244186,1
0.112606798,1
1.488316521,2
6.168326379,1
0.642035049,1
0.432225723,1
2.252912321,2
2.85440086,2
0.931424706,1
0.443735977,2
0.566688333,3
1.922217481,1
0.267041206,1
2.781932857,4
5.832934598,4
3.088492295,5
0.623849104,1
2.916224629,1
1.983408272,2
3.074849839,2
1.760867079,1
1.255665907,2
13.61349834,4
1.276698853,2
2.531924199,4
2.714403594,4
2.549979068,1
3.591761324,1
0.792464634,2
0.845674475,1
5.533678493,2
0.443897771,2
1.778127821,2
1.838801035,2
6.630168826,3
1.108630024,1
0.827456824,3
3.513127864,2
5.122927146,1
0.59774008,1
